Region,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total,date
South East,1838,2940,2138,58046,28140,574,5478,22,9779,92815,20510,222280,2012-06-30
South West,1497,1379,1372,26102,12117,211,2764,9,5450,37126,8423,96450,2012-06-30
Wales,1052,526,583,12954,6103,134,1157,2,3237,19179,3354,48281,2012-06-30
West Midlands,1038,800,883,22350,9928,275,1929,12,3965,34248,6078,81506,2012-06-30
Yorks & Humber,1033,690,756,22647,10000,336,1678,2,3807,31687,5773,78409,2012-06-30
England & Wales (not assigned),2,0,0,0,0,0,0,0,0,4,29,35,2012-06-30
East Anglia,1015,447,770,12755,5744,116,1151,2,3153,18820,3912,47885,2012-05-31
East Midlands,1401,962,1152,24625,10312,206,1616,20,4272,33872,6566,85004,2012-05-31
Greater London,256,4803,892,48630,22432,357,4120,4,5342,105469,20065,212370,2012-05-31
Isles of Scilly,1,3,0,4,0,0,2,0,3,13,1,27,2012-05-31
North,695,431,656,16247,7238,184,833,1,2635,23709,4178,56807,2012-05-31
North West,1297,1299,1076,33608,14370,413,1714,5,6384,56838,9980,126984,2012-05-31
South East,1993,3951,2426,69133,32780,603,5113,19,11717,115192,24660,267587,2012-05-31
South West,1761,1998,1446,33125,14291,224,2612,4,6357,46850,9818,118486,2012-05-31
Wales,1241,728,827,15608,6797,145,1112,0,3848,24232,4099,58637,2012-05-31
West Midlands,1250,1013,1207,31243,11747,240,1740,4,4934,41730,7483,102591,2012-05-31
Yorks & Humber,1189,843,974,27135,11979,300,1583,3,4839,40286,6931,96062,2012-05-31
England & Wales (not assigned),2,0,0,1,0,0,0,0,0,0,58,61,2012-05-31
East Anglia,771,556,572,11896,4706,131,952,5,2362,15475,3267,40693,2012-04-30
East Midlands,1120,1099,909,20146,8652,176,1372,17,3553,29045,5304,71393,2012-04-30
Greater London,297,3551,477,41775,17752,283,3481,3,4675,89751,16325,178370,2012-04-30
Isles of Scilly,1,0,1,10,2,0,4,0,3,17,1,39,2012-04-30
North,571,384,608,14201,5891,161,781,2,2365,20346,3443,48753,2012-04-30
North West,1070,1236,681,34277,12000,365,1396,6,5425,48443,8251,113150,2012-04-30
South East,1821,3802,2055,65445,25757,527,4306,15,10089,98494,21175,233486,2012-04-30
South West,1568,2324,1333,28435,11935,226,2039,13,5627,40140,8156,101796,2012-04-30
Wales,1056,724,596,13761,5607,131,920,7,3418,20903,3016,50139,2012-04-30
West Midlands,1067,922,982,23552,10776,226,1477,5,4256,35665,6069,84997,2012-04-30
Yorks & Humber,1111,974,842,23766,9917,245,1219,2,4003,35532,5436,83047,2012-04-30
England & Wales (not assigned),2,0,0,0,0,0,0,0,0,6,21,29,2012-04-30
,,,,,,,,,,,,,2012-04-30
East Anglia,984,545,756,11698,5211,119,947,12,2604,18223,3354,44453,2012-02-29
East Midlands,1293,1096,1154,20831,8659,266,1383,9,4055,34101,6182,79029,2012-02-29
Greater London,316,4229,685,42638,18133,307,3249,20,5101,101630,17723,194031,2012-02-29
Isles of Scilly,1,1,2,22,7,0,0,0,1,10,3,47,2012-02-29
North,676,503,751,14135,6069,178,719,9,2403,22815,3826,52084,2012-02-29
North West,1315,1626,937,30122,12570,372,1583,1,6047,55888,8940,119401,2012-02-29
South East,2229,4071,3118,63747,28164,502,4811,38,11099,111521,20745,250045,2012-02-29
South West,1896,2285,1821,28288,13302,205,2164,6,6232,46628,8315,111142,2012-02-29
Wales,1281,658,721,14107,5785,146,856,5,3849,24440,3455,55303,2012-02-29
West Midlands,1190,1016,1166,26107,10188,241,1534,2,4543,41499,6991,94477,2012-02-29
Yorks & Humber,1447,1356,1161,24267,10428,283,1320,6,4464,39105,6177,90014,2012-02-29
England & Wales (not assigned),0,0,0,1,0,0,0,0,0,0,33,34,2012-02-29
East Anglia,988,503,863,12555,5183,76,906,2,2795,17299,3061,44231,2012-01-31
East Midlands,1254,964,1342,22108,9200,204,1228,11,4031,31927,5447,77716,2012-01-31
Greater London,343,4547,596,43980,18934,379,3376,13,5154,96854,15980,190156,2012-01-31
Isles of Scilly,0,2,1,5,6,0,3,0,5,26,0,48,2012-01-31
North,705,471,793,15081,5886,159,639,6,2512,21566,3505,51323,2012-01-31
North West,1537,1743,1156,32738,12747,326,1505,4,6043,51798,8390,117987,2012-01-31
South East,2106,3950,2874,71168,28591,513,4571,34,11062,103510,19389,247768,2012-01-31
South West,1881,2474,1828,29972,12994,192,2269,3,5987,42225,7288,107113,2012-01-31
Wales,1320,677,864,15279,5978,127,811,5,3868,22679,3210,54818,2012-01-31
West Midlands,1330,1083,1280,33307,11133,232,1485,2,4580,38790,5981,99203,2012-01-31
Yorks & Humber,1331,1215,1111,24772,10413,299,1271,9,4491,37416,5413,87741,2012-01-31
England & Wales (not assigned),0,0,0,0,0,0,0,0,0,0,25,25,2012-01-31
09/02/2012 12:29,,,,,,,,,,,,,2012-01-31
East Anglia,738,426,695,12052,5364,101,1256,3,2102,12761,2321,37819,2011-12-31
East Midlands,977,706,845,22181,9564,214,1888,8,3056,23583,4047,67069,2011-12-31
Greater London,324,3540,480,42514,18355,391,3719,16,4132,72076,13053,158600,2011-12-31
Isles of Scilly,0,0,1,2,2,0,0,0,2,14,1,22,2011-12-31
North,582,349,484,14410,6049,164,1059,7,1887,15790,2674,43455,2011-12-31
North West,1090,1270,960,30317,13354,384,2264,4,4503,38662,6503,99311,2011-12-31
South East,1846,2969,2010,74122,29053,544,5859,17,8693,75214,14525,214852,2011-12-31
South West,1892,1435,1294,31334,12760,221,3186,7,4819,30364,5597,92909,2011-12-31
Wales,1197,490,661,14561,5962,154,1145,2,2905,15704,2418,45199,2011-12-31
West Midlands,1023,845,1002,25278,13496,228,1942,1,3564,28447,4643,80469,2011-12-31
Yorks & Humber,1281,1022,747,26403,9982,259,1757,11,3569,27139,4260,76430,2011-12-31
England & Wales (not assigned),1,0,0,0,0,0,0,0,0,0,25,26,2011-12-31
25/01/2012 11:22:12,,,,,,,,,,,,,2011-12-31
