Region,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total,date
Isles of Scilly,0,0,0,5,4,0,1,0,3,22,2,37,2012-11-30
North,1113,583,778,15429,6828,224,1130,1,2479,22728,4528,55821,2012-11-30
North West,1384,1960,798,33127,14562,740,1911,1,5873,54575,9866,124797,2012-11-30
South East,2099,3232,2860,70589,32341,839,5492,21,11773,109034,23798,262078,2012-11-30
South West,1775,1309,1584,30963,13725,312,2649,13,6123,44478,9436,112367,2012-11-30
Wales,1390,456,754,15906,6833,265,1021,3,3707,23643,3701,57679,2012-11-30
West Midlands,1451,1083,1360,26424,12202,844,1880,9,4765,40648,7487,98153,2012-11-30
Yorks & Humber,1433,1030,1076,26030,11951,1523,1839,3,4609,39860,6793,96147,2012-11-30
England & Wales (not assigned),1,0,0,0,0,0,0,0,0,6,41,48,2012-11-30
East Anglia,1123,436,787,13543,6083,107,1173,5,3139,19052,4289,49737,2012-10-31
East Midlands,1378,974,1215,23111,10473,238,1693,10,4736,34782,6776,85386,2012-10-31
Greater London,351,5053,609,47611,21276,292,4104,14,5202,110804,20391,215707,2012-10-31
Isles of Scilly,0,2,0,7,5,0,0,0,7,21,2,44,2012-10-31
North,1013,656,911,15868,7099,177,1037,0,2594,23678,4712,57745,2012-10-31
North West,1583,2130,984,33638,16080,372,1738,9,6539,58453,10330,131856,2012-10-31
South East,2354,3825,3116,73711,32686,506,5287,32,11637,113318,23926,270398,2012-10-31
South West,1987,1467,1557,31699,14721,271,2459,9,6655,46898,9906,117629,2012-10-31
Wales,1463,462,804,15789,7078,175,1072,0,4101,23871,4193,59008,2012-10-31
West Midlands,1430,1082,1262,26751,11922,262,1816,9,5160,44050,8227,101971,2012-10-31
Yorks & Humber,1588,1190,1216,27135,12286,280,1897,3,4891,40486,7449,98421,2012-10-31
England & Wales (not assigned),0,0,0,0,0,0,0,0,0,2,27,29,2012-10-31
East Anglia,853,314,586,11543,5111,311,1079,8,2473,16285,3413,41976,2012-09-30
East Midlands,1297,589,1023,20255,8804,260,1526,8,3867,29166,5823,72618,2012-09-30
Greater London,352,4220,551,40952,18742,450,3958,20,4602,87829,16559,178235,2012-09-30
Isles of Scilly,0,1,0,6,1,0,1,0,1,13,2,25,2012-09-30
North,842,477,906,13415,5927,205,953,1,2149,20461,3614,48950,2012-09-30
North West,1311,1285,780,29294,12657,350,1665,5,5484,48367,8372,109570,2012-09-30
South East,1837,2951,2376,63909,28948,901,4882,37,9941,97909,19993,233684,2012-09-30
South West,1737,1289,1356,27562,12405,550,2275,4,5709,39571,8348,100806,2012-09-30
Wales,1037,356,646,13502,5935,192,853,1,3639,20861,3175,50197,2012-09-30
West Midlands,1113,782,827,22719,10054,293,1609,5,4320,37750,6511,85983,2012-09-30
Yorks & Humber,1279,714,975,23091,10084,327,1550,2,3814,33756,5771,81363,2012-09-30
England & Wales (not assigned),1,0,0,2,0,0,0,0,0,7,29,39,2012-09-30
East Anglia,945,359,606,12956,5928,103,1108,7,2731,17413,3786,45942,2012-08-31
East Midlands,1272,704,1200,23659,10194,175,1569,26,4079,30885,6159,79922,2012-08-31
Greater London,314,4274,669,46855,20777,320,3871,19,5032,95180,18072,195383,2012-08-31
Isles of Scilly,3,1,1,10,3,0,0,0,4,8,1,31,2012-08-31
North,667,385,635,15305,6423,161,962,3,2472,21695,4043,52751,2012-08-31
North West,1277,1167,856,33285,14310,398,1916,3,6282,51700,9083,120277,2012-08-31
South East,1959,2978,2549,72609,32433,502,5114,35,10829,104257,22159,255424,2012-08-31
South West,1912,1553,1484,32866,14116,287,2446,14,6154,42708,9548,113088,2012-08-31
Wales,1163,464,773,15061,6548,166,946,1,3740,21694,3810,54366,2012-08-31
West Midlands,1130,661,998,25391,11264,246,1870,8,4869,38920,7043,92400,2012-08-31
Yorks & Humber,1081,695,1080,27911,11271,250,1540,1,4507,35797,6462,90595,2012-08-31
England & Wales (not assigned),1,0,0,0,0,0,0,0,0,7,33,41,2012-08-31
Total,12625,15302,11452,305723,139253,2672,19924,107,51178,478987,94684,1131907,2012-07-31
East Anglia,1080,451,755,13048,5994,115,979,7,2751,17561,3798,46539,2012-07-31
East Midlands,1320,872,1305,23383,10317,196,1403,20,4136,31369,6607,80928,2012-07-31
Greater London,275,4339,599,48520,22052,318,4101,14,5148,99994,19298,204658,2012-07-31
Isles of Scilly,1,2,0,10,6,0,0,0,7,21,1,48,2012-07-31
North,727,352,561,15396,6912,180,820,1,2468,22795,3902,54114,2012-07-31
North West,1374,1466,822,31705,15161,412,1770,1,6186,54929,9791,123617,2012-07-31
South East,2271,3675,2769,73408,33578,563,4697,25,11191,107003,24034,263214,2012-07-31
South West,1789,1655,1625,32913,14970,227,2297,6,6392,43312,9374,114560,2012-07-31
Wales,1209,550,784,15394,6864,170,981,6,3638,23123,3723,56442,2012-07-31
West Midlands,1110,996,1173,25483,11705,254,1559,21,4700,41204,7083,95288,2012-07-31
Yorks & Humber,1468,944,1059,26463,11694,237,1317,6,4561,37676,7036,92461,2012-07-31
England & Wales (not assigned),1,0,0,0,0,0,0,0,0,0,37,38,2012-07-31
East Anglia,851,402,577,10876,4912,261,1263,5,2458,14743,3158,39506,2012-06-30
East Midlands,1171,838,837,19802,9136,244,1871,27,3555,26655,5554,69690,2012-06-30
Greater London,237,3857,795,39409,18695,312,3892,8,4533,86183,16372,174293,2012-06-30
Isles of Scilly,1,1,0,4,0,0,0,0,3,9,1,19,2012-06-30
North,502,286,460,13058,6020,250,1129,3,2062,18783,3549,46102,2012-06-30
North West,1203,899,774,26921,12796,391,2124,4,5234,45607,8506,104459,2012-06-30
